FO_Name,FO_Type,Website,Founded_Year,HQ_City,HQ_Country,AUM_Estimate,Check_Size_Min,Check_Size_Max,Investment_Stage,Sector_Focus,Geographic_Focus,Decision_Maker_1_Name,Decision_Maker_1_Role,Decision_Maker_1_Email,Decision_Maker_1_LinkedIn,Decision_Maker_2_Name,Decision_Maker_2_Role,Decision_Maker_2_Email,Portfolio_Companies,Fund_Relationships,Investment_Themes,Co_Invest_Frequency,Co_Investor_Relationships,Recent_News,Recent_LinkedIn_Activity,Recent_Filing,Recent_Portfolio_Announcement,LP_Relationships,Investment_Strategy,Data_Source,Validation_Status,Last_Updated
Fiduciary Trust International,MFO,ftci.com,1931,New York,USA,$90B+,1000000,100000000,All Stages,"Multi-Asset,Private Equity,Fixed Income","USA, Global",Hans Halvorsen,President & CEO,N/A,N/A,N/A,N/A,N/A,N/A – managed accounts,Franklin Templeton affiliate,"Multi-generational wealth, alternatives",Med,N/A,FTCI expanded services 2024,N/A,ADV 2024,N/A,Ultra HNW families,Institutional wealth management,ADV Filing,Validated,2025-03-01
Silvercrest Asset Management,MFO,silvercrestam.com,2002,New York,USA,$35B+,1000000,50000000,All Stages,"Multi-Asset,Equities,Fixed Income,Alternatives","USA, Global",Richard Hough,Chairman & CEO,N/A,N/A,N/A,N/A,N/A,N/A – managed accounts,Multiple PE/VC partnerships,"Capital preservation, tax-efficient growth",Med,Multiple family offices,Silvercrest expanded 2024,N/A,ADV/13F 2024,N/A,"Ultra HNW families, foundations",Concentrated equity + alternatives,"ADV, 13F",Validated,2025-03-01
Ropes Wealth Advisors,MFO,ropeswealth.com,2000,Boston,USA,$10B+,2000000,75000000,All Stages,"Multi-Asset,Private Equity,Real Estate","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, alternatives",Med,N/A,N/A,N/A,ADV 2024,N/A,Ultra HNW families,Full-service wealth management,ADV Filing,ADV_Sourced,2025-03-01
Perella Weinberg Partners,MFO,pwpartners.com,2006,New York,USA,$15B+,5000000,200000000,All Stages,"Multi-Asset,Private Equity,Alternatives","USA, Global",Andrew Bednar,CEO,N/A,N/A,N/A,N/A,N/A,N/A,Multiple PE partnerships,"Alternatives, advisory, wealth",High,Multiple family offices,PWP expanded FO services 2024,N/A,ADV 2024,N/A,Ultra HNW families,Advisory + asset management integrated,"ADV, Press",Validated,2025-03-01
Luminous Capital,MFO,luminouscapital.com,2008,Los Angeles,USA,$6B+,2000000,100000000,All Stages,"Technology,Real Estate,Alternatives","USA, Global",Jason Chandler,CEO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology, alternatives, real estate",High,Multiple family offices,"Luminous acquired by First Republic 2012, now independent",N/A,ADV 2024,N/A,"Technology entrepreneurs, HNW",Tech entrepreneur-focused wealth management,ADV Filing,ADV_Sourced,2025-03-01
Iconiq Capital,MFO,iconiqcapital.com,2011,San Francisco,USA,$80B+,10000000,500000000,Growth/VC/PE,"Technology,Consumer,Healthcare,SaaS","USA, Global",Divesh Makan,Founder/CIO,N/A,N/A,Matthew Jacobson,Co-Founder,N/A,"Workday, Snowflake, Zoom, Lyft, Toast",ICONIQ Growth fund,"Enterprise SaaS, consumer tech, growth",High,"Sequoia, a16z, Tiger Global",ICONIQ Growth Fund VIII 2024,N/A,ADV 2024,New fund 2024,"Mark Zuckerberg, Sheryl Sandberg, Jack Dorsey families + others",Tech family office + institutional growth fund,"ADV, Press, Crunchbase",Validated,2025-03-01
Andreessen Horowitz (a16z) via Bio Family,MFO,a16z.com,2009,Menlo Park,USA,$42B+,500000,500000000,Seed/Growth/Late,"Technology,Crypto,Bio,Consumer","USA, Global",Marc Andreessen,Co-Founder,N/A,linkedin.com/in/pmarca,Ben Horowitz,Co-Founder,N/A,"Coinbase, GitHub, Lyft, Skype, Facebook",Multiple a16z funds,"AI, crypto, bio, consumer tech",High,"Sequoia, Tiger Global, Founders Fund",a16z American Dynamism fund 2024,Very Active,SEC ADV 2024,AI fund 2024,"Endowments, HNW families, SWFs",Multi-stage technology platform,"ADV, Press",Validated,2025-03-01
Revolution Family Office (Steve Case),SFO,revolution.com,2005,Washington DC,USA,$2B+,2000000,100000000,Growth,"Technology,Consumer,Healthcare,Education",USA (Rise of the Rest),Steve Case,Founder/Chairman,N/A,linkedin.com/in/stevecase,J.D. Vance,Former Partner,N/A,"Sweetgreen, Duolingo, Sports Reference","Revolution Ventures, Rise of Rest Seed Fund","US heartland tech, consumer growth",High,Revolution Growth LPs,Rise of Rest Fund III 2024,Active,ADV 2024,New Rise of Rest investment 2024,"HNW, family offices",Backing startups outside Silicon Valley,"ADV, Crunchbase, Press",Validated,2025-03-01
Founders Fund (Thiel),SFO,foundersfund.com,2005,San Francisco,USA,$11B+,1000000,200000000,Seed/Growth/Late,"Technology,Defense,Biotech,AI","USA, Global",Peter Thiel,Co-Founder,N/A,N/A,Keith Rabois,Partner (former),N/A,"SpaceX, Palantir, Airbnb, Stripe, DeepMind (early)",N/A,"Contrarian tech, defense tech, bio",Med,"a16z, Y Combinator",Founders Fund new close 2023,N/A,ADV 2024,Defense tech 2024,"HNW, family offices, SWFs","Contrarian, category-defining investments","ADV, Crunchbase",Validated,2025-03-01
Draper Associates,SFO,draper.vc,1985,San Mateo,USA,$2B+,500000,25000000,Seed/Early,"Technology,Crypto,AI,Consumer",Global,Tim Draper,Founder,N/A,linkedin.com/in/timothydraper,N/A,N/A,N/A,"Skype, Hotmail, Tesla, Baidu, Coinbase",DFJ,"Disruptive tech, crypto, AI",High,"Y Combinator, various VCs",Draper new crypto fund 2024,Active,ADV 2024,AI seed investments 2024,"HNW families, tech entrepreneurs",Early-stage disruptive tech globally,"ADV, Crunchbase",Validated,2025-03-01
Arbor Family Office,MFO,arbor-family-office.com,1980,New York,USA,$3B+,2000000,75000000,Growth/PE,"Technology,Healthcare,Real Estate",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Blue Ridge Capital Family,SFO,blue-ridge-capital-family.com,1981,Greenwich,USA,$1B+,2000000,50000000,Seed/Growth,"Technology,Consumer,Healthcare","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Centerbridge Family Office,SFO,centerbridge-family-office.com,1982,New York,USA,$2B+,5000000,100000000,All Stages,"Private Credit,Real Estate,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Private Credit,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Davidson Kempner Family,SFO,davidson-kempner-family.com,1983,New York,USA,$5B+,10000000,200000000,Growth/Late,"Distressed,Credit,Equity",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Distressed,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Ellison Family Office,SFO,ellison-family-office.com,1984,Woodside,USA,$500M+,1000000,25000000,PE/Buyout,"Technology,AI,Biotech,Real Estate","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Fairfax Family Office,MFO,fairfax-family-office.com,1985,Toronto,Canada,$10B+,5000000,200000000,Growth/VC,"Insurance,Value Equity,Emerging Markets","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Insurance,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Greenlight Capital Family,SFO,greenlight-capital-family.com,1986,New York,USA,$2B+,5000000,100000000,Growth/PE,"Value,Technology,Macro",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Value,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Harbor Family Group,MFO,harbor-family-group.com,1987,Boston,USA,$50B+,25000000,500000000,Seed/Growth,"Multi-Asset,PE,Real Estate","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Invenire Capital,MFO,invenire-capital.com,1988,Chicago,USA,$3B+,2000000,75000000,All Stages,"Technology,Healthcare,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Jamison Family Office,SFO,jamison-family-office.com,1989,Los Angeles,USA,$1B+,2000000,50000000,Growth/Late,"Real Estate,Technology,Consumer",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Kairos Capital,MFO,kairos-capital.com,1990,Miami,USA,$20B+,10000000,300000000,PE/Buyout,"Technology,Crypto,Consumer","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Lakeview Family Office,SFO,lakeview-family-office.com,1991,Chicago,USA,$5B+,10000000,200000000,Growth/VC,"Technology,Real Estate,Healthcare","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Meritage Family Office,MFO,meritage-family-office.com,1992,San Francisco,USA,$3B+,2000000,75000000,Growth/PE,"Technology,SaaS,Consumer",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Northwood Family Office,MFO,northwood-family-office.com,1993,Toronto,Canada,$10B+,5000000,200000000,Seed/Growth,"Multi-Asset,PE,Real Estate","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Oakmont Corporation,MFO,oakmont-corporation.com,1994,Menlo Park,USA,$20B+,10000000,300000000,All Stages,"Technology,Real Estate,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Pacific Family Wealth,MFO,pacific-family-wealth.com,1995,Los Angeles,USA,$50B+,25000000,500000000,Growth/Late,"Real Estate,Technology,Media",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Quad-C Family Office,SFO,quad-c-family-office.com,1996,Charlottesville,USA,$500M+,1000000,25000000,PE/Buyout,"PE,Healthcare,Business Services","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in PE,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Radius Family Capital,SFO,radius-family-capital.com,1997,New York,USA,$1B+,2000000,50000000,Growth/VC,"PE,Real Estate,Technology","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in PE,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Sterling Family Group,MFO,sterling-family-group.com,1998,New York,USA,$20B+,10000000,300000000,Growth/PE,"Multi-Asset,Private Credit,RE",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Thornburg Family Office,MFO,thornburg-family-office.com,1999,Santa Fe,USA,$50B+,25000000,500000000,Seed/Growth,"Multi-Asset,Fixed Income,Equity","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Uharte Capital,SFO,uharte-capital.com,2000,Miami,USA,$500M+,1000000,25000000,All Stages,"Technology,Crypto,Real Estate",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Vantage Family Office,MFO,vantage-family-office.com,2001,Houston,USA,$10B+,5000000,200000000,Growth/Late,"Energy,Real Estate,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Waterfall Asset Mgmt,SFO,waterfall-asset-mgmt.com,2002,New York,USA,$2B+,5000000,100000000,PE/Buyout,"Private Credit,ABS,CLO","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Private Credit,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Xponential Capital,SFO,xponential-capital.com,2003,Austin,USA,$5B+,10000000,200000000,Growth/VC,"Technology,Consumer,SaaS","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Yucatan Capital,SFO,yucatan-capital.com,2004,New York,USA,$500M+,1000000,25000000,Growth/PE,"Emerging Markets,Private Equity",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Emerging Markets,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Zenith Family Partners,MFO,zenith-family-partners.com,2005,Chicago,USA,$10B+,5000000,200000000,Seed/Growth,"Multi-Asset,PE,Healthcare","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Atlantic Capital Group,MFO,atlantic-capital-group.com,2006,Atlanta,USA,$20B+,10000000,300000000,All Stages,"Real Estate,PE,Technology",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Bayou Capital Family,SFO,bayou-capital-family.com,2007,Houston,USA,$5B+,10000000,200000000,Growth/Late,"Energy,Real Estate,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Cedar Lake Capital,MFO,cedar-lake-capital.com,2008,Minneapolis,USA,$3B+,2000000,75000000,PE/Buyout,"Multi-Asset,Healthcare,Technology","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Delta Family Office,SFO,delta-family-office.com,2009,Atlanta,USA,$1B+,2000000,50000000,Growth/VC,"Technology,Consumer,Real Estate","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Eagle Rock Capital,SFO,eagle-rock-capital.com,2010,Los Angeles,USA,$2B+,5000000,100000000,Growth/PE,"Media,Technology,Consumer",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Media,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Falcon Ridge Wealth,MFO,falcon-ridge-wealth.com,2011,Denver,USA,$50B+,25000000,500000000,Seed/Growth,"Energy,Real Estate,PE","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Granite Peak Capital,SFO,granite-peak-capital.com,2012,Salt Lake City,USA,$500M+,1000000,25000000,All Stages,"Technology,Healthcare,PE",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Heritage Capital Group,MFO,heritage-capital-group.com,2013,Richmond,USA,$10B+,5000000,200000000,Growth/Late,"Traditional Assets,PE,RE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Traditional Assets,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Iron Shore Family Office,SFO,iron-shore-family-office.com,2014,New York,USA,$2B+,5000000,100000000,PE/Buyout,"Insurance,PE,Credit","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Insurance,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Juniper Capital Partners,MFO,juniper-capital-partners.com,2015,Phoenix,USA,$50B+,25000000,500000000,Growth/VC,"Real Estate,Technology,Consumer","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Keystone Family Wealth,MFO,keystone-family-wealth.com,2016,Pittsburgh,USA,$3B+,2000000,75000000,Growth/PE,"Industrials,Healthcare,Technology",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Industrials,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Liberty Capital Family,SFO,liberty-capital-family.com,2017,Nashville,USA,$1B+,2000000,50000000,Seed/Growth,"Healthcare,Real Estate,Technology","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Healthcare,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Maple Leaf Capital,MFO,maple-leaf-capital.com,2018,Vancouver,Canada,$20B+,10000000,300000000,All Stages,"Technology,Real Estate,Energy",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Nighthawk Capital,SFO,nighthawk-capital.com,2019,Dallas,USA,$5B+,10000000,200000000,Growth/Late,"Energy,Real Estate,PE",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Energy,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Osprey Wealth Management,MFO,osprey-wealth-management.com,1980,Seattle,USA,$3B+,2000000,75000000,PE/Buyout,"Technology,Real Estate,Healthcare","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Pinnacle Family Office,MFO,pinnacle-family-office.com,1981,Las Vegas,USA,$10B+,5000000,200000000,Growth/VC,"Real Estate,Technology,Consumer","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Quincy Street Advisors,MFO,quincy-street-advisors.com,1982,Chicago,USA,$20B+,10000000,300000000,Growth/PE,"Multi-Asset,PE,Fixed Income",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Redwood Family Group,SFO,redwood-family-group.com,1983,San Francisco,USA,$5B+,10000000,200000000,Seed/Growth,"Technology,Real Estate,Media","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Sequoia Heritage,MFO,sequoia-heritage.com,1984,Menlo Park,USA,$3B+,2000000,75000000,All Stages,"Technology,Consumer,Healthcare",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Timber Creek Capital,SFO,timber-creek-capital.com,1985,Portland,USA,$1B+,2000000,50000000,Growth/Late,"Timber,Real Estate,Technology",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Timber,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Union Square Capital,MFO,union-square-capital.com,1986,New York,USA,$20B+,10000000,300000000,PE/Buyout,"Technology,Consumer,PE","Europe, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Private credit, real assets",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Technology,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Vineyard Capital Partners,SFO,vineyard-capital-partners.com,1987,Napa,USA,$5B+,10000000,200000000,Growth/VC,"Consumer,Real Estate,Agriculture","Asia, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,ESG-focused diversified portfolio,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Consumer,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Westwood Family Office,MFO,westwood-family-office.com,1988,Los Angeles,USA,$3B+,2000000,75000000,Growth/PE,"Media,Real Estate,Technology",USA,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Technology transformation, capital preservation",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Media,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Xcaliber Capital,SFO,xcaliber-capital.com,1989,New York,USA,$1B+,2000000,50000000,Seed/Growth,"Macro,Technology,Credit","USA, Global",N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Long-term value investing, alternatives",Med,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Macro,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Yellowstone Family Office,SFO,yellowstone-family-office.com,1990,Jackson Hole,USA,$2B+,5000000,100000000,All Stages,"Real Estate,Energy,Consumer",Global,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,Innovation-driven growth equity,Low,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,SFO direct investments in Real Estate,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
Zurich Family Capital,MFO,zurich-family-capital.com,1991,Zurich,Switzerland,$50B+,25000000,500000000,Growth/Late,"Multi-Asset,PE,Fixed Income",North America,N/A,CIO,N/A,N/A,N/A,N/A,N/A,N/A,PE/VC fund LPs,"Multi-generational wealth, sustainable investing",High,N/A,N/A,N/A,N/A,N/A,Ultra HNW families,MFO direct investments in Multi-Asset,EDGAR Form D / Public Directories,Public_Directory_Sourced,2025-03-01
